name,latitude,longitude
Frituur Hazegras,51.2257515,2.9241447
Selfi Snack,51.2324767,2.9164162
McDonald's,51.2324441,2.9168021
Flavors,51.2308905,2.917821
Sushi Shīsaido,51.228775,2.923122
Frituur Danny 1995,51.2154089,2.906713
El Greco,51.2329511,2.9170093
Amy & Mary Specialty Ice Creams,51.232124,2.9141748
Olivier Willems Chocolatier - Atelier Oosteroever,51.2358134,2.9315989
Rizavita,51.231963,2.9131492
Mister Spaghetti,51.233041,2.9167638
Tujo,51.2229242,2.8938599
O'Saveurs,51.2332008,2.920767
Het Koraal,51.230965,2.9228992
Twins & F - Bbq Steakhouse,51.2332041,2.9177008
Deli Twist,51.231373,2.9188015
Snack Royal,51.2127031,2.8822633
Izmir Kebab,51.232292,2.914207
Benji's Luxury Pitta,51.232334,2.915532
Chinees restaurant Chi,50.8486979,5.7153759
Domino's Pizza,50.8893746,5.6499956
Frituur - Restaurant Malberg,50.865745,5.6582401
Nankai Sushi Grill & Wok,50.8882302,5.6496035
Orient Lanaken,50.8947108,5.6650737
Achiles,50.8852173,5.6737455
Eethuis Zemzem,50.8895158,5.6507451
Pizzeria Newroz,50.8895158,5.6507451
Mamma Mia,50.8133081,5.6691349
Sushi Wolder,50.834446,5.6541681
Daisuki Sushi,50.85022,5.666505
Da Roberto Statensingel,50.8514888,5.6803091
Pizza Planet,50.7360097,5.6946873
Ada Grill & Burger,50.8465692,5.6941176
Lotus Maastricht,50.8442745,5.6752508
Ô Bubble Tea,50.7383555,5.6937383
Pizza Hut Delivery,50.9118426,4.1965426
Le Lion Belge,50.8599029,4.418416
Snack Arc en Ciel,50.8714801,4.4008113
Cheat Burgers,50.8336928,4.3743911
Sushiline,50.8531716,4.3910123
La Boucherie d'Evere,50.871939,4.3998682
Pizza Hut Delivery,50.8798085,4.4727801
Miro's snack,50.8716804,4.4002252
Orient Kitchen,50.870054,4.4004025
Pizza Margherita,50.8734968,4.3868024
Turkish Kebap,50.8778404,4.4096982
Paradise of India,50.8687167,4.3998057
Casa Giordano,50.8579029,4.4154694
Snack Houwaert,50.8527175,4.373779
Sushi Moon,50.8715316,4.400269
Pizzeria la Ora,50.8888975,4.4710678
Late Night Pizza,50.827602,4.3303032
New Asia,50.8557317,4.3956731
Kefi Taverna,50.8635691,4.4166935
Royale Pizza,50.8554161,4.3993148
McDonald's Testlab,50.8928127,4.4592802
Quick,50.8780669,4.4111602
Wok Masala,50.8689045,4.3899729
Nouillesquisaute Jinyuan,50.8587057,4.4144339
New Delhi Traiteur,50.8583933,4.4123924
Snack Antalya,50.8847973,4.4704521
Frituur Egzon,50.8591074,4.4153902
Snack Tatayet,50.8561079,4.4020319
Domino's Pizza,50.8779071,4.4095179
Serenata,50.8850493,4.4704492
Taverne Jack,50.8687882,4.3998766
Royal City,51.2151275,2.888137
Pho Sure,51.2251273,2.9103114
Apero bouffe Lobsang,51.2251064,2.9094399
Zia Maria Pizzeria,51.2172744,2.9026885
Pizza That's It,51.2177133,2.9071662
Yamas,51.2249944,2.9108129
Olivier Willems Chocolatier - Shop Petit Paris,51.2247301,2.9099195
Fast and Fresh,51.222843,2.9088693
Brasserie Faro,51.227543,2.918388
Funky Friet House Oostende,51.225464,2.9091783
D'Ostendsche Baguette,51.226467,2.915898
Burger King,50.8387823,4.2870944
Pizzeria Milano,50.8365808,4.308187
Pizza Pazzia Toto Anderlecht,50.84663,4.2978845
Snack Derya,50.848743,4.3189361
O'Tacos,50.8346916,4.307244
O'Royal Burger,50.8582461,4.3152923
Asie A Tik,50.8387823,4.2870944
Taiyaki Sushi,50.8554394,4.3152015
Ô 16 Art,50.86416,4.29822
O'Tacos,50.8384493,4.2878482
Wanted Mettewie,50.8562741,4.3124492
Snack Özmu,50.8397466,4.3070863
Pizza Pita Pala,51.1701238,4.3120615
Kaya Pitta,0.0,0.0
De Wedergeboorte,51.149706,2.7566215
Pizza Bella Pitta,51.189492,2.8307733
Trattoria Borsalino,51.1870881,2.8148523
Libertà,51.3486848,3.3272067
Lucy Chang,51.3491685,3.2786424
Pizza Number 1,51.3440506,3.2877057
Pizza Azzuro,51.348971,3.2878123
Restaurant Cipriani,51.350397,3.282687
Klein Amsterdam,51.354291,3.2984896
The Food Affair,51.3491317,3.2893011
Kanpai Sushi Lounge,51.3524664,3.2879816
Mère Liban,51.3528206,3.2912637
Oliva,51.340565,3.2416257
Pitta Number 1,51.3426788,3.2880538
La Familia da Aldo,51.3411653,3.2387018
Arigato Sushi Bar,51.3470715,3.2885656
Bar-celona,51.3391859,3.2866428
La Nonna,51.3401985,3.2393598
A'Mare Mio Ristorante Pizzeria,51.3530572,3.2901038
Pizza Sam,51.3394195,3.2383649
My way,51.3434678,3.2888883
Yum Smaak,51.34099,3.2888477
Golden Buddha @ Home,51.3410833,3.2882916
Bella Italia,51.343096,3.2882123
Domino's Pizza,51.3429952,3.2881033
